Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
cluster_001_consensus	cds	1	1329	+	FAFAHP_00005	dnaA	chromosomal replication initiator protein DnaA	COG:COG0593, COG:L, GO:0003688, GO:0005524, GO:0005737, GO:0006270, GO:0006275, SO:0001217, UniRef:UniRef50_B2FUW1, UniRef:UniRef90_Q8PRG2
cluster_001_consensus	oriC	1348	1606	?			origin of replication	
cluster_001_consensus	cds	1607	2707	+	FAFAHP_00010	dnaN	DNA polymerase III subunit beta	COG:COG0592, COG:L, EC:2.7.7.7, KEGG:K02338, RefSeq:WP_016901842.1, SO:0001217, UniParc:UPI0002E3333D, UniRef:UniRef100_A0A0E3UFS3, UniRef:UniRef50_P0A120, UniRef:UniRef90_G7THU0
cluster_001_consensus	oriC	2708	3793	?			origin of replication	
cluster_001_consensus	cds	3794	4900	+	FAFAHP_00015	recF	DNA replication/repair protein RecF	COG:COG1195, COG:L, GO:0003697, GO:0005524, GO:0005737, GO:0006260, GO:0006281, GO:0009432, RefSeq:WP_039512805.1, SO:0001217, UniParc:UPI0004617830, UniRef:UniRef100_A0A5P3KLJ1, UniRef:UniRef50_B2FT82, UniRef:UniRef90_Q5H713
cluster_001_consensus	cds	5015	7459	+	FAFAHP_00020	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	COG:COG0187, COG:L, RefSeq:WP_016901840.1, SO:0001217, UniParc:UPI0002AAF25B, UniRef:UniRef100_L7PGF0, UniRef:UniRef50_P22840, UniRef:UniRef90_Q3BZS8
cluster_001_consensus	cds	7527	8363	+	FAFAHP_00025		CPBP family intramembrane metalloprotease	KEGG:K07052, RefSeq:WP_039509608.1, SO:0001217, UniParc:UPI0003E07541, UniRef:UniRef100_W4S4L5, UniRef:UniRef50_A0A1E7RN07, UniRef:UniRef90_A0A7W9AC34
cluster_001_consensus	cds	8426	9232	+	FAFAHP_00030		Peptidase-M48 domain-containing protein	EC:3.4.24.-, KEGG:K23010, RefSeq:WP_016901838.1, SO:0001217, UniParc:UPI0002ED71D9, UniRef:UniRef100_A0A0E3YQ29, UniRef:UniRef50_V7ZJB9, UniRef:UniRef90_V7ZJB9
cluster_001_consensus	cds	9384	10580	+	FAFAHP_00035		Tetratricopeptide repeat protein	RefSeq:WP_039509610.1, SO:0001217, UniParc:UPI00039AD197, UniRef:UniRef100_W4RX86, UniRef:UniRef50_A0A1L5QU12, UniRef:UniRef90_A0A1L5QU12
cluster_001_consensus	cds	10734	11405	+	FAFAHP_00040	tonB	Protein TonB	COG:COG0810, COG:M, GO:0015031, GO:0031992, GO:0055085, GO:0098797, SO:0001217, UniParc:UPI000580A0F3, UniRef:UniRef100_A0A1L5QTT8, UniRef:UniRef50_B0RLE5, UniRef:UniRef90_B0RLE5
