# BUSCO version is: 5.2.2 
# The lineage dataset is:  (Creation date: 2024-01-08, number of genomes: 80, number of BUSCOs: 1152)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
52at135614	Complete	cluster_001_consensus	1188250	1192401	+	2551.8	1232	https://v10-1.orthodb.org/?query=52at135614	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
73at135614	Complete	cluster_001_consensus	2086038	2091047	+	2448.3	1387	https://v10-1.orthodb.org/?query=73at135614	Glutamate dehydrogenase
74at135614	Complete	cluster_001_consensus	1192502	1196716	+	2470.9	1208	https://v10-1.orthodb.org/?query=74at135614	DNA-directed RNA polymerase subunit beta'
122at135614	Complete	cluster_001_consensus	4091233	4095279	-	1851.4	1062	https://v10-1.orthodb.org/?query=122at135614	Phosphoribosylformylglycinamidine synthase
168at135614	Complete	cluster_001_consensus	1719667	1723251	-	1616.2	908	https://v10-1.orthodb.org/?query=168at135614	DNA-directed DNA polymerase
174at135614	Complete	cluster_001_consensus	3555330	3559469	-	1782.1	1075	https://v10-1.orthodb.org/?query=174at135614	RNA helicase HrpA
179at135614	Complete	cluster_001_consensus	38652	43124	-	2178.3	1241	https://v10-1.orthodb.org/?query=179at135614	Glutamate synthase, alpha subunit, C-terminal
220at135614	Complete	cluster_001_consensus	2666534	2669776	-	1863.0	938	https://v10-1.orthodb.org/?query=220at135614	Carbamoyl-phosphate synthase large chain
246at135614	Complete	cluster_001_consensus	4466921	4470121	+	1645.8	910	https://v10-1.orthodb.org/?query=246at135614	Proline dehydrogenase domain
313at135614	Complete	cluster_001_consensus	3269870	3273340	+	1800.4	967	https://v10-1.orthodb.org/?query=313at135614	Transcription-repair-coupling factor
319at135614	Complete	cluster_001_consensus	3519256	3526503	-	1983.7	1228	https://v10-1.orthodb.org/?query=319at135614	Signal transduction histidine kinase, phosphotransfer (Hpt) domain
385at135614	Complete	cluster_001_consensus	4782056	4785916	-	930.4	925	https://v10-1.orthodb.org/?query=385at135614	Pathogenicity protein
463at135614	Complete	cluster_001_consensus	1500454	1503234	+	1390.7	775	https://v10-1.orthodb.org/?query=463at135614	Isoleucine--tRNA ligase
502at135614	Complete	cluster_001_consensus	752189	754876	+	1637.5	812	https://v10-1.orthodb.org/?query=502at135614	Pyruvate dehydrogenase E1 component
609at135614	Complete	cluster_001_consensus	2995403	2998906	-	1652.2	1016	https://v10-1.orthodb.org/?query=609at135614	SMCs flexible hinge
623at135614	Complete	cluster_001_consensus	2646570	2649338	+	1482.0	754	https://v10-1.orthodb.org/?query=623at135614	Aconitate hydratase
628at135614	Complete	cluster_001_consensus	3086868	3089696	+	1433.6	791	https://v10-1.orthodb.org/?query=628at135614	2-oxoglutarate dehydrogenase E1 component
637at135614	Complete	cluster_001_consensus	4102808	4105717	+	1330.8	774	https://v10-1.orthodb.org/?query=637at135614	Valine--tRNA ligase
669at135614	Complete	cluster_001_consensus	3181371	3184013	-	1558.8	773	https://v10-1.orthodb.org/?query=669at135614	Leucine--tRNA ligase
692at135614	Complete	cluster_001_consensus	1454636	1457569	-	1590.7	823	https://v10-1.orthodb.org/?query=692at135614	glycine dehydrogenase (aminomethyl-transferring)
739at135614	Complete	cluster_001_consensus	4937755	4941294	-	777.7	682	https://v10-1.orthodb.org/?query=739at135614	RecBCD enzyme subunit RecC
770at135614	Complete	cluster_001_consensus	3061488	3064241	+	1539.2	796	https://v10-1.orthodb.org/?query=770at135614	Methionine synthase
847at135614	Complete	cluster_001_consensus	4663344	4665842	-	736.1	654	https://v10-1.orthodb.org/?query=847at135614	Ribonucleoside-diphosphate reductase
880at135614	Complete	cluster_001_consensus	3317116	3319725	-	1202.1	709	https://v10-1.orthodb.org/?query=880at135614	Orn/DAP/Arg decarboxylase 2, C-terminal
882at135614	Complete	cluster_001_consensus	1027137	1029875	+	1441.3	765	https://v10-1.orthodb.org/?query=882at135614	SecA, preprotein cross-linking domain
888at135614	Complete	cluster_001_consensus	2983426	2986137	-	1492.6	760	https://v10-1.orthodb.org/?query=888at135614	DNA gyrase subunit A
909at135614	Complete	cluster_001_consensus	814305	817184	-	1136.1	740	https://v10-1.orthodb.org/?query=909at135614	Peptidase M16
956at135614	Complete	cluster_001_consensus	2328297	2330675	-	1469.2	719	https://v10-1.orthodb.org/?query=956at135614	PEP-utilising enzyme, C-terminal
1001at135614	Complete	cluster_001_consensus	4706794	4709592	-	1361.9	779	https://v10-1.orthodb.org/?query=1001at135614	DNA polymerase I
1035at135614	Complete	cluster_001_consensus	3442995	3445469	+	1342.2	728	https://v10-1.orthodb.org/?query=1035at135614	Acyl-CoA dehydrogenase
1042at135614	Complete	cluster_001_consensus	328202	330703	-	1113.2	692	https://v10-1.orthodb.org/?query=1042at135614	ATP-dependent helicase HrpB
1082at135614	Complete	cluster_001_consensus	5015	7459	+	1180.3	602	https://v10-1.orthodb.org/?query=1082at135614	DNA gyrase subunit B
1091at135614	Complete	cluster_001_consensus	2861448	2864096	-	1390.8	752	https://v10-1.orthodb.org/?query=1091at135614	Alanine--tRNA ligase
1096at135614	Complete	cluster_001_consensus	2499560	2501842	-	1274.4	649	https://v10-1.orthodb.org/?query=1096at135614	Clp, N-terminal
1120at135614	Complete	cluster_001_consensus	1728261	1730714	-	956.8	623	https://v10-1.orthodb.org/?query=1120at135614	Outer membrane protein assembly factor BamA
1153at135614	Complete	cluster_001_consensus	725300	728125	+	1173.5	757	https://v10-1.orthodb.org/?query=1153at135614	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
1171at135614	Complete	cluster_001_consensus	3637044	3639629	-	1467.6	744	https://v10-1.orthodb.org/?query=1171at135614	Clp, N-terminal
1196at135614	Complete	cluster_001_consensus	4383087	4385447	+	1309.5	678	https://v10-1.orthodb.org/?query=1196at135614	DNA topoisomerase I, type IA
1199at135614	Complete	cluster_001_consensus	3852992	3855409	+	1176.8	696	https://v10-1.orthodb.org/?query=1199at135614	Penicillin-binding protein
1224at135614	Complete	cluster_001_consensus	3166052	3169978	-	1003.8	951	https://v10-1.orthodb.org/?query=1224at135614	AsmA-like, C-terminal
1234at135614	Complete	cluster_001_consensus	1280329	1282800	+	1462.5	732	https://v10-1.orthodb.org/?query=1234at135614	Lon protease
1257at135614	Complete	cluster_001_consensus	3968110	3970419	-	1331.8	689	https://v10-1.orthodb.org/?query=1257at135614	Malic enzyme
1272at135614	Complete	cluster_001_consensus	1562986	1565541	-	1344.6	733	https://v10-1.orthodb.org/?query=1272at135614	DNA mismatch repair protein MutS
1300at135614	Complete	cluster_001_consensus	4679656	4682976	-	1179.6	918	https://v10-1.orthodb.org/?query=1300at135614	Ankyrin repeat-containing domain
1395at135614	Complete	cluster_001_consensus	2339649	2342015	+	1284.7	665	https://v10-1.orthodb.org/?query=1395at135614	Tex-like domain superfamily
1406at135614	Complete	cluster_001_consensus	1050104	1052818	+	1217.6	756	https://v10-1.orthodb.org/?query=1406at135614	Phosphoenolpyruvate carboxylase
1452at135614	Complete	cluster_001_consensus	1763941	1766184	-	1185.2	628	https://v10-1.orthodb.org/?query=1452at135614	DNA topoisomerase, type IIA, subunit A/C-terminal
1521at135614	Complete	cluster_001_consensus	1747425	1750034	+	975.0	657	https://v10-1.orthodb.org/?query=1521at135614	Bifunctional uridylyltransferase/uridylyl-removing enzyme
1546at135614	Complete	cluster_001_consensus	4933811	4937758	-	784.9	720	https://v10-1.orthodb.org/?query=1546at135614	UvrD-like DNA helicase, C-terminal
1587at135614	Complete	cluster_001_consensus	2479802	2482174	+	1364.6	710	https://v10-1.orthodb.org/?query=1587at135614	3-hydroxyacyl-CoA dehydrogenase
1596at135614	Complete	cluster_001_consensus	1197930	1200047	+	1210.8	609	https://v10-1.orthodb.org/?query=1596at135614	Elongation factor G
1611at135614	Complete	cluster_001_consensus	1884394	1887102	+	1201.1	721	https://v10-1.orthodb.org/?query=1611at135614	Translation initiation factor IF-2
1747at135614	Complete	cluster_001_consensus	1264268	1266370	-	1155.7	605	https://v10-1.orthodb.org/?query=1747at135614	Polyphosphate kinase
1774at135614	Complete	cluster_001_consensus	3862112	3864283	-	1193.1	632	https://v10-1.orthodb.org/?query=1774at135614	RelA/SpoT
1776at135614	Complete	cluster_001_consensus	2989935	2992436	-	1104.1	648	https://v10-1.orthodb.org/?query=1776at135614	DNA ligase
1799at135614	Complete	cluster_001_consensus	4716378	4718549	-	1154.4	628	https://v10-1.orthodb.org/?query=1799at135614	DNA helicase
1812at135614	Complete	cluster_001_consensus	3836011	3838011	-	1049.2	563	https://v10-1.orthodb.org/?query=1812at135614	Transketolase
1814at135614	Complete	cluster_001_consensus	3022580	3024715	-	970.0	584	https://v10-1.orthodb.org/?query=1814at135614	Ribosomal RNA large subunit methyltransferase K/L
2079at135614	Complete	cluster_001_consensus	2493173	2495530	-	1103.7	614	https://v10-1.orthodb.org/?query=2079at135614	Winged helix-like DNA-binding domain superfamily
2123at135614	Complete	cluster_001_consensus	1912108	1914129	+	1161.9	588	https://v10-1.orthodb.org/?query=2123at135614	excinuclease ABC subunit B
2144at135614	Complete	cluster_001_consensus	840380	842473	+	1079.1	590	https://v10-1.orthodb.org/?query=2144at135614	Prolyl oligopeptidase
2155at135614	Complete	cluster_001_consensus	1952208	1954112	+	1101.3	536	https://v10-1.orthodb.org/?query=2155at135614	Threonine--tRNA ligase
2190at135614	Complete	cluster_001_consensus	1889231	1891345	+	1234.9	627	https://v10-1.orthodb.org/?query=2190at135614	Polyribonucleotide nucleotidyltransferase
2234at135614	Complete	cluster_001_consensus	1229365	1231404	-	1060.2	582	https://v10-1.orthodb.org/?query=2234at135614	FAD/NAD(P)-binding domain
2260at135614	Complete	cluster_001_consensus	3602153	3604069	-	967.2	520	https://v10-1.orthodb.org/?query=2260at135614	ABC transporter ATP-binding protein
2264at135614	Complete	cluster_001_consensus	1437435	1439555	+	781.6	518	https://v10-1.orthodb.org/?query=2264at135614	Peptidase S9
2266at135614	Complete	cluster_001_consensus	1080787	1083270	-	916.2	715	https://v10-1.orthodb.org/?query=2266at135614	permease
2295at135614	Complete	cluster_001_consensus	2180623	2182833	-	833.3	574	https://v10-1.orthodb.org/?query=2295at135614	PAS domain
2307at135614	Complete	cluster_001_consensus	3588716	3590482	-	972.1	512	https://v10-1.orthodb.org/?query=2307at135614	Aspartate--tRNA ligase
2341at135614	Complete	cluster_001_consensus	1982312	1984231	-	1039.8	553	https://v10-1.orthodb.org/?query=2341at135614	1-deoxy-D-xylulose-5-phosphate synthase
2361at135614	Complete	cluster_001_consensus	2384166	2385956	+	1010.9	522	https://v10-1.orthodb.org/?query=2361at135614	Succinate dehydrogenase flavoprotein subunit
2364at135614	Complete	cluster_001_consensus	2891680	2893569	+	1126.0	564	https://v10-1.orthodb.org/?query=2364at135614	DNA topoisomerase, type IIA
2372at135614	Complete	cluster_001_consensus	1221676	1223505	-	1082.7	546	https://v10-1.orthodb.org/?query=2372at135614	GTP-binding protein
2407at135614	Complete	cluster_001_consensus	4752202	4754145	+	1134.7	555	https://v10-1.orthodb.org/?query=2407at135614	Acetyl-coenzyme A synthetase
2503at135614	Complete	cluster_001_consensus	3536604	3539048	-	1145.4	646	https://v10-1.orthodb.org/?query=2503at135614	Penicillin-binding protein 1B
2556at135614	Complete	cluster_001_consensus	4871362	4873338	-	1059.1	583	https://v10-1.orthodb.org/?query=2556at135614	UvrD-like DNA helicase, C-terminal
2564at135614	Complete	cluster_001_consensus	4792428	4794662	-	1111.8	662	https://v10-1.orthodb.org/?query=2564at135614	Glycine--tRNA ligase beta subunit
2567at135614	Complete	cluster_001_consensus	4700435	4702804	+	1085.4	657	https://v10-1.orthodb.org/?query=2567at135614	Dipeptidylpeptidase IV, N-terminal domain
2588at135614	Complete	cluster_001_consensus	3859276	3861420	-	1043.3	610	https://v10-1.orthodb.org/?query=2588at135614	Helicase, C-terminal
2615at135614	Complete	cluster_001_consensus	4508029	4509915	-	983.9	534	https://v10-1.orthodb.org/?query=2615at135614	arginine decarboxylase
2618at135614	Complete	cluster_001_consensus	3543151	3545505	-	891.3	519	https://v10-1.orthodb.org/?query=2618at135614	(P)ppGpp synthetase
2630at135614	Complete	cluster_001_consensus	3107084	3109012	-	1149.4	601	https://v10-1.orthodb.org/?query=2630at135614	Chaperone protein DnaK
2699at135614	Complete	cluster_001_consensus	1624863	1626653	+	1056.5	520	https://v10-1.orthodb.org/?query=2699at135614	Elongation factor 4
2708at135614	Complete	cluster_001_consensus	3533807	3535813	-	987.7	570	https://v10-1.orthodb.org/?query=2708at135614	helicase
2709at135614	Complete	cluster_001_consensus	1876508	1878682	+	909.3	522	https://v10-1.orthodb.org/?query=2709at135614	NADH-plastoquinone oxidoreductase, chain 5
2759at135614	Complete	cluster_001_consensus	1871717	1873951	+	1127.4	637	https://v10-1.orthodb.org/?query=2759at135614	NADH:ubiquinone oxidoreductase, subunit G
2780at135614	Complete	cluster_001_consensus	1985832	1987625	-	918.4	526	https://v10-1.orthodb.org/?query=2780at135614	Acyl-CoA dehydrogenase
